memory, inkling	abhav                 अभाव                                                          n.                       non-existence, absence,
zeal, urging, insistence	aguva        अगुवा        n./adv.   leader, leading
zeal, urging, insistence	agya         आज्ञा        n.        order, command,
instruction, permission	agyakari     आज्ञाकारी    adj.      obedient
instruction, permission	agyan        खज्ञान       n./adj.   ignorance; ignorant
instruction, permission	agyat        अज्ञात       adj.      unknown,      secret, obscure
instruction, permission	ahan         अहँ          int.      no
instruction, permission	ahangkar     अहङ्कार      n.        arrogance, conceit
instruction, permission	ahar         आहार         n.        food, diet
instruction, permission	ahara        आहारा        n.        food, diet
instruction, permission	ahat         आहत          adj.      struck, beaten
instruction, permission	ahile        अहिले        adv.      now, this time
instruction, permission	aimai        आइमाई        n.        woman
instruction, permission	ain          ऐन           n.        law, legal code, rule
instruction, permission	aina         ऐना          n.        mirror, looking glass, pane
of glass	aincatana    एंचाताना     adj.      out of control, controlled by
aipugnu	आइपुग्नु     VI.       to arrive
aipugnu	aitavar      आइतवार       n.        Sunday
aipugnu	aitihasik        ऐतिहासिक              adj.    historical
aipugnu	aja              आज                    adv.    today
aipugnu	aja bihana       आज बिहाना             comp.   this morning
aipugnu	ajabholi         आजभोलि                adv.    nowadays
aipugnu	ajakal           आजकाल                 adv.    nowadays
aipugnu	ajan             अजान                  adj.    ignorant
aipugnu	ajang            अजङ                   adj.    huge, very big, enormous,
formidable	ajat             अजात                  adj.    outcaste,     low caste, not
born	ajatshatru       अजातशत्रु             adj.    having no enemy
born	ajha             अझ                    adv.    still, yet, moreover,    now
born	अझैa
born	ajhai            अझै                   Conj.   even then, even now
born	ajivan           आजीवन                 adj.    throughout life, for a whole
life-time	akad             अकड                   n.      insistence, obstinacy,
stubbornness, persistence	akado            अकडो                  adj.    obstinate, stubborn
stubbornness, persistence	akal             अकल                           wisdom,      intelligence,
skilful, clever, wise	akalpaniya       अकल्पनीय              adj.    unimaginable,       unthinkable,
inconceivable	akamakaunu       APA ATS T             ५४...   to hesitate, to pause
dumbfounded, perplexed	akamakka parnu   अकमक्क        पार्न   v.t.    to be confused, to be
pause	akangksha        आकाङ्क्षा             n.      aspiration
pause	akanksha         आकांक्षा              n.      wish, desire, intention
pause	akantak          अकण्टक                adj.    free from trouble,
unobstructed, thornless	akapat           अकपट                  adj.    guiltless, frank, open
unobstructed, thornless	akar             आकार                  n.      size, shape, form, outline
unobstructed, thornless	akaraniya        अकरणीय                adj.    improper, unfit to be
performed	akarma           अकर्म                 n.      unnecessary act, wicked
act	akarmak            अकर्मक                 adj.   intransitive
act	akarmanya          अकर्मण्य               adj.   idle, useless, good for
nothing	akarmi             अर्कर्मी               n.     a do nothing, sinner, evil-
doer, rogue, villain	akarna             अकर्न                  n.     official record, document,
list of official records	akarsan            आकर्षण                 n.     attraction
list of official records	akartavya          अकर्तव्य               adj.   improper, unfit to be done
list of official records	akartha            अ्कार्थ                adj.   without cause,      pointlessly,
in vain	akash              आकाश                   n.     sky, space
in vain	akashe tara-marg   आकाशे      तार मार्ग          cable railway
in vain	akashvani          आकाश्वाणी                     radio broadcast
in vain	akasmat            अकस्मात                       suddenly,      accidentally,
sudden	akasmik            आकस्मिक                adj.   sudden,      abrupt, accidental,
casual	akathaniya         अकथनीय                 adj.   inexpressible,
indecent	akathya            अकथ्य                  adj.   inexpressible,
indecent, filthy, unutterable	akavat             अकवत                   n.     duty, God
indecent, filthy, unutterable	akbar              अकबर                   n.     name      of the third Indian
Moghul Emperor	akbare             अकबरे                  adj.   pungent chilli, extraordinary
hot	akbari             अकबरी                  adj.   related to Akbar,      pure,
unadulterated	akelo              अकेलो                  adj.   alone
unadulterated	akhabar            अखबार                  n.     newspaper
unadulterated	akhir              आखिर                   adv.   at last, eventually
unadulterated	akkal              अक्कल                  n.     knowledge,       cleverness,
thought	akkali             अक्कली                 adj.   clever, intelligent
thought	akkase             अक्कासे                adj.   sky-blue
thought	akkasinu      अक्कासिनु    ५४...   to fly up
thought	akraman       आक्रमण       n.      attack, invasion
thought	akrista       आकृष्ट       adj.    attracted, drawn,       charmed
thought	akriti        आकृति        n.      size, shape, form, outline
thought	aksar         अक्सर        adv.    often, frequently, usually,
many, a lot	akshansh      अक्षांश      n.      latitude
many, a lot	akshar        अक्षर        n.      letter [of the alphabet],
syllable	aksijan       अक्सिजन      n.      oxygen
syllable	alag          अलग                  separate, different
syllable	alainci       अलैंची       n.      cardamom
syllable	alangkar      अलङ्कार      n.      embellishment
syllable	alasya        आलस्य        n.      laziness,    idleness
syllable	alchi         अल्छी        adj.    lazy, idle
syllable	alekha        आलेख         n.      writing, script, anything
written	algyaunu      अल्ग्याउनु   v.t.    tho lift, to raise, to release,
to set free	alhad         आल्हाद       n.      delight, fulfilment
to set free	ali           अलि          adj.    a bit, a little, few
to set free	ali           आली          n.      ridge at the edge of a field-
terrace	alikati       अलिकति       adj.    a little, a small quantity
terrace	alilo         अलिलो        adj.    lacking salt, tasteless
terrace	aljnanu       अल्झनु       ४...    to get caught up in
terrace	aljhaunu      अल्झाउनु     v.t.    to entangle
terrace	alkatra       अलकत्रा      n.      asphalt
terrace	allare        अल्लारे      n.      rover
terrace	almalaunu     अल्मलाउनु    v.t.    to confuse, to lead astray
terrace	almalinu      अलमलिनु      VI.     to be bewildered, to be
amazed, to be confused	almari        आल्मारी      n.      shelves, cupboard
amazed, to be confused	alocana       आलोचना       n.      criticism, critique
amazed, to be confused	alocanatmak   आलोचनात्मक   adj.    critical
amazed, to be confused	alok              आलोक               n.        enlightenment,    light,
brightness	alpamat           अल्पमत             n.        minority
brightness	alsi              अल्सी              adj.      lazy, idle
brightness	alu               आलु                n.        potato
brightness	alu tachnu        आलु ताछनु          v.t.      to peel off potatoes
brightness	alubakhada        आलुबखडा            n.        plum-tree
brightness	am                आम                 adj.      common, general
brightness	ama               आमा                n.        mother
brightness	amai              आमै                n.        grandmother [rural]
brightness	amala             अमला               n.        a kind of fruit [sour-sweet]
brightness	amanav            अमानव              adj.      inhuman
brightness	amanya            अमान्य             adj.      unaccepted,     unobeyed
brightness	amar              अमर                adj.      immortal, undying
brightness	amarkosh          अमरकोश             n.        (a Sanskrit dictionary
compiled by Amar Singh)	amba              अम्बा              n.        guava
compiled by Amar Singh)	amdani            आम्दानी            n.        income
compiled by Amar Singh)	amdani badhaune   आमदानी    बढाउने   n.        income generating
compiled by Amar Singh)	amilo             अमिलो              adj.      sour
compiled by Amar Singh)	amir              अमीर               adj.      wealthy, rich
compiled by Amar Singh)	amiri             अमीरी              adj.      wealthy, rich
compiled by Amar Singh)	amkhora           अम्खोरा            n.        brass pot for drinking from,
tumbler	amnirvacan        आमनिर्वाचन         n.        general elections
tumbler	amol              अमोल               adj.      priceless, invaluable
tumbler	amrit             अमृत               n./adj.   elixir, nectar; immortal
tumbler	amulya            अमूल्य             adj.      priceless, invaluable
tumbler	amurta            अमूर्त             adj.      formless
an                                   int.      yes	anadarvaci        अनादरवाची          adj.      non-honorific [ling.]
an                                   int.      yes	anadi             अनादि              adj.      having no beginning, self-
born	analamaya         अनलमय              adj.      fiery
born	anand             आनन्द              n.        happiness
born	anandi            आनन्दी             adj.      happy
born	ananta             अनन्त                  adj.      infinite, endless
born	anar               अनार                   n.        pomegranate
born	anarsa             अनर्सा                 n.        a kind if sweet bread made
butter	anashan            अनशन                   n.        fasting
butter	anatha             अनाथ                   adj.      uncared for, orphaned
butter	anautha            अनौठा                  adj.      queer,    unusual,
extraordinary	अनौठो
extraordinary	सै
peculiar	anautikta          अनौतिक्ता              n.        immorality
peculiar	anavarat           अनवरत                  adj.      unceasing, constant
peculiar	anbhaunu           अन्भाउनु               v.t.      to say good-bye to the
away a bride	ancal              अञ्चल                  n.        zone
away a bride	ancal adalat       अञ्चल अदालत            n.        zonal court
away a bride	ancal nyayadhish   अञ्चल न्यायाधीष                  zonal judge
away a bride	ancal prashasan    अञ्चल प्रशासन                    zonal administration
away a bride	ancal sabha        अञ्चल सभा              n.        zonal assembly
away a bride	ancaladhish        अञ्चलाधीश              n.        zonal commissioner
ancetnu	अंचेठ्नु               v.t.      to discipline, to impress, to
press, to push with force	anda               अन्डा                  n.        699
press, to push with force	andaji             अन्दाजी                adv.      appropriately, about
press, to push with force	anderi             अँडेरी                 n.        castor-oil plant
press, to push with force	andha              अन्धा                  adj.      blind
press, to push with force	andhabhakta        अन्धभक्त               n.        blind follower, superstitious
person	andhakar           अन्धकार                n.        darkness
person	andheri            अँधेरी                 adj.      dark, gloomy
person	andhiyar           आँधियार                n.        sharer of half the land or
crop	andhopan           अन्धोपन                n.        blindness
crop	andhyaro           अँध्यारो               n./adj.   dark, gloomy, sad,
darkness, ignorance, gloom	andolan            आन्दोलन                n.        agitation, riot, movement
10	andra                आन्द्रा                       n.     entrails
10	anduva               अँडुवा                        n.     not castrated animal
10	aneka                अनेक                          adj.   several, many
10	ang                  आङ                            n.     part, body, portion, limb,
procedure	anga pugnu           अङ्ग पुग्नु                          to be the procedure
complete	anga-bhanga          अङ्ग भङ्ग                     n.     mutilation of a limb
complete	anga-bhanga garnu    अङ्ग भङ्ग गर्नु               v.t.   to amputate,    to dismember,
to mutilate	angacched            अङ्गच्छेद                     n.     amputation
to mutilate	angalnu              अँगल्नु                       v.t.   to adopt, to accept, to
follow, to embrace, to hug	angalo               अँगालो                        n.     hug, embrace,      armful, the
bent arm	angan                आँगन                          n.     yard, courtyard,      house,
home	angar                अँगार                         n.     cinder, ember, the black
substance of charcoal	anga-raksha          अङ्ग-रक्षा                    n.     protection of body
substance of charcoal	anga-rakshak         अङ्ग-रक्षक                    n.     body guard
substance of charcoal	angethi              अँगेठी                        n.     iron or clay vessel to carry
fire, portable fireplace	anggur               अँग्र                         n.     grape
fire, portable fireplace	anghi                आँघी                          n.     storm, whirlwind,      hurricane
fire, portable fireplace	angikar              अङ्गीकार                      n.     acceptance
fire, portable fireplace	angikar garnu        अङ्गीकार गर्नु                v.t.   to accept, to follow
fire, portable fireplace	angikrit             अंगीकृत                       adj.   adopted,    agreed,    promised
fire, portable fireplace	angikrit nagarikta   अंगीकृत नागरिकता              n.     adopted citizenship
fire, portable fireplace	angikrit nepali      अंगीकृत नेपाली नागरिकता       n.     adopted Nepali citizenship
nagarikta	anginti              अनगिन्ति                      adj.   countless
act [in a drama]	angka ra akshar      As        C€ अक्षर                   figure and letter
act [in a drama]	angka ra aksharle    AE        र अक्षरले बोलाउनु          to call by figure and word
bolaunu	angka-ganit          अङु-गणित                      n.     arithmetic, mathematics
bolaunu	angkapatra          अंकपत्र                   n.        label, fillet
bolaunu	angkit              अंकित                     adj.      marked, written, endorsed,
encounted	angkuran            अंक्रण                    n.        germination, beginning
encounted	angocha             अगोछा                     n.        towel, napkin
encounted	angrej              अंग्रेज                   n.        Englishman, Westerner,
white man	angreji             अंग्रेजी                  n./adj.   English, British, English
language	angsha              अंश                       n.        share, division, fragment,
sub-clause	angshadan           अंशदान                    n.        contribution, donation
sub-clause	angshadhar          अंशधर                     n.        share-holder, heir
sub-clause	angshako     hak    अंशको हक                  n.        heirship, right to the
paternal property	angshiyar           अंशियार                   n.        co-heir, sharer, partner
paternal property	angul               अंगुल                     n.        finger, a finger'’s breadth
paternal property	anguli mudra        अंगुली मुद्रा             n.        fingerprint,     nameprinted
ring	anguli pratimudra   अंगुली प्रतिमुद्रा        n.        finger impression
ring	angur               अंगुर                     n.        grape
ring	ani                 अनि                       Conj.     and, then, and then
ring	anicchit            अनिच्छित                  adj.      undesired, unwished for
ring	anikal              अनिकाल                    n.        famine
ring	anil                अनिल                      n.        wind
ring	anivarya            अनिवार्य                  adj.      inevitable
ring	anjali              अञ्जली                    n.        the open palms of the
tribute	anjuli              अञ्जूली
tribute	anka                अंक                       n.        numeral, digit, issue,
act [in a drama]	ankai                   अँकाई                           n.        estimate, evaluation
act [in a drama]	ankanaunu               अन्कनाउनु                       ४.1.      to hesitate
act [in a drama]	ankha                   आँखा                            n.        eye
act [in a drama]	ankhako nani            आँखाको नानी                     n.        pupil
shoot of a plant	ankush                  अंकुश                           n.        hook
shoot of a plant	anmaunu                 अन्माउनु                        v.t.      to say good-bye to the
away a bride	anna                    अन्न                            n.        grain, food
away a bride	anna-bhandar            अन्न-भण्डार                     n.        granary
away a bride	anp                     आँप                             n.        mango
away a bride	anta                    आँठा                            n.        wheat flour
anta	अन्त                            n.        end, conclusion
anta	anta garnu              अन्त गर्नु                      v.t.      to end, to finisch
anta	अन्तै
anta	न्तै
anta	antar                   अन्तर                           n./adj.   difference,     interval: inner,
inter-	antaral rajya           अन्तराल राज्या                  n.        buffer state
inter-	antardeshiya            अंतदेशीय                        adj.      inland, domestic
inter-	antardeshiya jalpath    अंतदेशीय जलपथ                   n.        inland waterways
inter-	antardeshiya patra      अंतदेशीय पत्र                   n.        inland letter
inter-	antardeshiya vanijya    अंतदेशीय वाणिज्य                n.        internal trade
inter-	antardhvans             अंतर्ध्वस                       n.        sabotage
inter-	antargat                अन्तर्गत                        adj.      included, comprised
inter-	antargrasta             अंतर्ग्रस्त                     adj.      involved
inter-	antarik                 आन्तरिक                         adj.      interior, inner, internal
inter-	antariksha              अन्तरीक्ष                       n.        space,     universe
inter-	antarmukhi              अन्तर्मुखि                      adj.      introvert, inward-looking
inter-	antarrastriya           अन्तर्राष्ट्रिय                 adj.      international
inter-	antarrastriya kanun     अन्तर्राष्ट्रिय कानुन           n.        international law
inter-	antarrastriya           अन्तर्राष्ट्रिय मुद्वकोष        n.        International Monetary
13	antarvarta         अन्तर्वार्ता            n.        interview
13	antarvasan         अंतर्वासन               n.        internship, confinement
within prescribed limits	antarvasi          अंतर्वासी               n.        internee
within prescribed limits	antarvasit         अंतर्वासित              adj.      interned
within prescribed limits	antarvasit garnu   अंतर्वासित गर्नु        v.t.      to intern
within prescribed limits	antarvirodh        अन्तरविरोध              n.        self-contradiction, inner
contradiction	antastha desh      अन्तस्थ देश             n.        buffer state
contradiction	anthanabbe         अन्ठानब्बे              num.      ninety-eight, 98
contradiction	anthaunna          अन्ठाउन्न               num.      fifty-eight, 58
contradiction	anthyaunu          अँठ्याउनु               v.t.      to catch firmly, to seize, to
clutch, to grasp firmly	anti               अंति                    n.        ultimatum
clutch, to grasp firmly	antim              अन्तिम                  adj.      last, final, conclusive,
ultimate	antis              अन्तिस                  adj.      last
antnu	antya              अन्त्य                  n./adj.   end, last run
antnu	antyesti           अन्त्येष्ति             n.        the last rites after death,
obsequies	anubhav            अनुभव                   n.        experience, feeling,
sensation	anubhavi           अनुभवि                  adj.      experienced
sensation	anubhuti           अनुभूति                 n.        real knowledge,
experience, sensation	anudan             अनुदान                  n.        grant
experience, sensation	anugaman           अनुगमन                  n.        follow-up
experience, sensation	anuhar             बनुहार                  n.        face, countenance
experience, sensation	anukramnika        अनुक्रमणिका             n.        contents,    list of contents
experience, sensation	anukul             अनुकूल                  adj.      favourable, agreeable,
friendly	anuman             अनुमान                  n.        inference, guess,
presumption	anumati            अनुमति                  n.        permission, consent,
assent	anupasthit         अनुपस्थित               adj.      absent
assent	anupras            अनुप्रास                n.        alliteration
14	anurodh         अनुरोध                  n.        request, entreaty, prayer
14	anurodh garnu   अनुरोध     गर्नु        v.t.      to request, to ask for, to
pray	anurup          अनुरूप                  adj.      resembling,     corresponding,
congruous	anusandhan      अनुसन्धान               n.        research,     investigation
congruous	anusafr         अनुसार                  postp.    according to, in accordance
conformity with	anusaran        अनुसरण                  n.        compliance,     accordance
conformity with	anushasan       अनुशासन                 n.        discipline, instruction
conformity with	anuvad          अनुवाद                  n.        translation, immitation
conformity with	anuvakta        अनुवक्ता                n.        translator
conformity with	anuvar          अनुवार                  n.        face, countenance
conformity with	anveshan        अन्वेशण                 n.        exploration
conformity with	anya            अन्य                    adj.      other
conformity with	anyatra         अन्यत्र                 adj.      elsewhere, somewhere
else, in some other place	anyaya          अन्याय                  n.        injustice
else, in some other place	apaci           अपची                    adj.      undigested,     undigestible
else, in some other place	apadha          अपढ                     adj.      illiterate, unlettered
else, in some other place	apaharan        अपहरण                   n.        abduction, kidnapping,
usurpation	apanaunu        अपनाउनु                 v.t.      to adopt, to make        use of, to
apply	aparadh         अपराध                   n.        crime, offence, guilt, fault,
sin	aparadhi        अपराधी                  n./adj.   criminal, wrongdoer
sin	aparicit        अपरिचित                 adj.      unknown,      unfamiliar
sin	aparjhat        अपरझठ                   adv.      suddenly, surprisingly, all of
a sudden	apas            आपस                     n.        those close to oneself,
relatives	apashoc         अपशोच                   n.        regret, sorrow
relatives	apasma          आपसमा                   adj.      among each other, among
themselves	aphai           आफै                     adv.      self, personally
themselves	aphisar         अफिसर                   n.        officer
themselves	aphno           आफनो                    adj.      one's own
15	aphnu           आफनू           adj.   one's own
15	apil            अपील           n.     appeal, contradiction,
objection	aprakashit      अप्रकाशित      adj.   unpublished
objection	apratyashik     अप्रत्याशिक    adj.   unexpected,        sudden
objection	apravasi        आप्रवासी       n.     immigrant
objection	apsara          अप्सरा         n.     nymph, fairy, spirit
objection	apurva          अपूर्व         adj.   new, strange
objection	arab            अरब            num.   one billion, 1.00.00.00.000
objection	arajakta        अराजकता        n.     anarchy
objection	arakshan        आरक्षण         n.     reservation
objection	aram            आराम           n.     comfort,    rest
objection	arambha         आरम्भ          n.     beginning, start
objection	are             अरे                   (reported speech marker)
objection	arini           अग्रणी         adj.   free from debt
forecast	arko            अर्को          adj.   another,    next, second
forecast	arop            आरोप           n.     imputation, allegation,
insinuation, accusation	arpanu          अर्पनु         v.t.   to offer up, to dedicate
insinuation, accusation	artha           अर्थ           n.     finance, wealth, nmeaning,
interpretation, explanation	arthadanda      अर्थदण्ड       n.     fine
interpretation, explanation	artha-mantri    अर्थ-मन्त्री   n.     minister of finance
interpretation, explanation	arthashastra    अर्थशास्त्र    n.     economics, political
economy	arthat          अर्थात         adv.   that is to say, in other
words, I.e.	arthik          आर्थिक         adj.   economic, financial
words, I.e.	arthik matava   आर्थिक महत्व   n.     economic importance
words, I.e.	arthyaunu       अर्थ्याउनु     v.t.   to make sense of, to
understand	arti            अर्ती          n.     advice, counsel, lesson,
aru             ALS            n.     peach	aru             अरू            adj.   another,    more, either,
further	aru kohi     अरू कोही                 someone      else
further	arubakhada   आर्बखडा           n.     plum
further	asabhya      असभ्य             adj.   uncivilised, uncultured
further	asadh        असाढ              n.     Asadh or Asar, third month
July]	asadharan    असाधारण           adj.   unusual, uncommon
July]	asadhya      असाध्य            adj.   very, extremely
July]	asahamati    असहमति            n.     disagreement, dissent,
discordance	asahaya      असहाय             adj.   helpless
discordance	asal         असल               adj.   real, true, pure,
good	asall        असली              adj.   real, genuine
good	asam         आसाम              n.     Assam
good	asaman       आसमान             n.     sky
good	asamanta     असमान्ता          n.     inequality
good	asamaya      असमय              n.     untimeliness,       bad or
unfitting time	asamayik     असामयिक           adj.   inopportune, untimely,
inconvenient	asambhava    असम्भव            adj.   impossible
inconvenient	asan         आसन               n.     seat, stool, office, post,
posture, throne	asanggati    असंगति            n.     incoherence,        irrelevance,
incompatibility, anomaly	asankhya     असंख्य            adj.   innumerable,        countless,
beyond number	asanna       आसन्न             adj.   imminent,     impencing,     near,
close	asantusta    असन्तुष्ठ         adj.   dissatisfied, discontented,
displeased,     reluctant	asantusti    असन्तुष्ठि        n.     dissatisfaction
displeased,     reluctant	asapas       आसपास             adv.   nearabout,     nearby
displeased,     reluctant	asaphal      असफल              adj.   unsuccessful, failure
displeased,     reluctant	asar         असार              n.     Asadh or Asar, third month
July]	asar         असर               n.     effect, influence, mark,
17	asat            असत्‌                adj.     evil, bad, non-existent,
illusory	ash             आश                   n.       hope
illusory	asha            आशा                  n.       hope
illusory	ashangka        आशंका                n.       suspicion, doubt, fear,
dread	ashanti         अशान्ति              n.       lack of peace, unrest
dread	ashaya          आशय                  n.       meaning,     aim, intention,
purport	ashcarya        आश्चर्य              n.       wonder, surprise,
astonishment	ashcaryalagdo   आश्चर्यलाग्दो        adj.     surprising
astonishment	ashiksha        अशिक्षा              n.       illiteracy
astonishment	ashikshit       अशिक्षित             adj.     uneducated,     unlettered,
illiterate	ashirvacan      आशीर्वचन             n.       blessing, benediction
illiterate	ashirvacan      आशीर्वचन             n.       blessing
illiterate	ashirvad        आशीर्वाद             n.       blessing, benediction
illiterate	ashirvad        आशीर्वाद             n.       blessing
illiterate	ashis           आशिष                 n.       blessing, benediction
illiterate	ashis dinu      आशिष दिनु            v.t.     to bless
illiterate	ashlil          अश्लील               adj.     indecent, vulgar
illiterate	ashram          आश्रम                n.       hermitage,    residential
institute	ashraya         आश्रय                n.       dependence, resort,
reliance, retreat	ashrit          आश्रित               postp.   depending on, relying on
reliance, retreat	ashu            आशु                  adj.     quick, speedily, immediate,
swift	ashuddha        अशुद्ध               adj.     impure
swift	ashutos         आशुतोष               adj.     contended,     easily pleased
swift	ashvin          आश्विन               n.       Ashvin or Asoj, fifth month
[September-October]	asi             असी                           eighty, 80
[September-October]	asima           असीम                 adj.     boundless,    unlimited
[September-October]	asimit          असीमित               adj.     boundless,    unlimited
[September-October]	aso}            असोज                 n.       Ashvin or Asoj, fifth month
18	aspast           अस्पष्ट                adj.    not clear, indistinct, vague,
haziness	aspatal          अस्पताल                n.      hospital
haziness	astaunu          अस्ताउनु               ४.1.    to set [sun, moon or star]
haziness	astha            आस्था                  n.      faith, reverence, veneration
haziness	asthipanjar      अस्थिपन्जर             n.      skeleton
haziness	asti             अस्ति                  adv.    the day before yesterday,
recently, the other day	astiko bihibar   अस्तिको बिहीबार                last Thursday
recently, the other day	astitva          अस्तित्व               n.      existence, being, entity
